2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2323') to 10002323.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2524') to 10002524.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2254') to 10002254.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('2', '2280') to 20002280.tif
2024-10-17 11:26:46,194 - INFO - Mapping ('1', '2390') to 10002390.tif
2024-10-17 11:26:46,194 - INFO - Mapping ('2', '2217') to 20002217.tif
2024-10-17 11:26:46,194 - INFO - Mapping ('1', '2348') to 10002348.tif
2024-10-17 11:26:46,194 - INFO - Mapping ('1', '2367') to 10002367.tif
2024-10-17 11:26:46,194 - INFO - Mapping ('1', '2302') to 10002302.tif
2024-10-17 11:26:46,195 - INFO - Mapping ('1', '2509') to 10002509.tif
2024-10-17 11:26:46,195 - INFO - Mapping ('1', '2229') to 10002229.tif
2024-10-17 11:26:46,195 - INFO - Mapping ('1', '2210') to 10002210.tif
2024-10-17 11:26:46,195 - INFO - Mapping ('2', '2279') to 20002279.tif
2024-10-17 11:26:46,195 - INFO - Mapping ('1', '2417') to 10002417.tif
2024-10-17 11:26:46,196 - INFO - Mapping ('1', '2406') to 10002406.tif
2024-10-17 11:26:46,196 - INFO - Mapping ('1', '2269') to 10002269.tif
2024-10-17 11:26:46,196 - INFO - Mapping ('2', '2232') to 20002232.tif
2024-10-17 11:26:46,197 - INFO - Mapping ('1', '2461') to 10002461.tif
2024-10-17 11:26:46,197 - INFO - Mapping ('2', '2256') to 20002256.tif
2024-10-17 11:26:46,197 - INFO - Mapping ('2', '2307') to 20002307.tif
2024-10-17 11:26:46,197 - INFO - Mapping ('2', '2324') to 20002324.tif
2024-10-17 11:26:46,197 - INFO - Mapping ('2', '2349') to 20002349.tif
2024-10-17 11:26:46,198 - INFO - Mapping ('2', '2385') to 20002385.tif
2024-10-17 11:26:46,198 - INFO - Mapping ('2', '2388') to 20002388.tif
2024-10-17 11:26:46,198 - INFO - Mapping ('2', '2396') to 20002396.tif
2024-10-17 11:26:46,198 - INFO - Mapping ('2', '2410') to 20002410.tif
2024-10-17 11:26:46,198 - INFO - Mapping ('2', '2484') to 20002484.tif
2024-10-17 11:26:46,198 - INFO - Mapping ('2', '2519') to 20002519.tif
2024-10-17 11:26:46,199 - INFO - Mapping ('2', '2524') to 20002524.tif
2024-10-17 11:26:46,199 - INFO - Mapping ('2', '2529') to 20002529.tif
2024-10-17 11:26:46,199 - INFO - Mapping ('2', '2535') to 20002535.tif
2024-10-17 11:26:46,199 - INFO - Mapping ('2', '2325') to 20002325.tif
2024-10-17 11:26:46,199 - INFO - Mapping ('1', '2284') to 10002284.tif
2024-10-17 11:26:46,200 - INFO - Mapping ('1', '2257') to 10002257.tif
